post_id,message
7245371700_10153818622391701,Could this be Hillary Clinton's greatest advantage during the election?
10513336322_10154259365761323,"""The European Union is a festering cesspool of undue influence and opaque lobbying. By comparison with the British system, however, this noxious sewer is a crystal spring. Every stream of corporate effluent with which the EU poisons political life has a more malodorous counterpart in the UK."""
18807449704_10154205130659705,Try to avoid using these words.
95926963131_10154532724758132,This cannot be unseen. 😳 (via Today Show)
10606591490_10153764416176491,Feeling hungry?
75932763901_10155044370133902,FINALLY! It's the Miley Cyrus and Liam Hemsworth news we've ALL been waiting for —> http://bit.ly/1ZC6jXK
10513336322_10154259402401323,"At least eight local authorities cancelled or promised to review contracts with a law firm that specialises in fighting support claims for children with special educational needs, after its managing director published a series of tweets apparently gloating at parents."
5281959998_10150828437764999,"For years, diplomats were more comfortable talking about nuclear warheads than sexual orientation. The attack in Orlando has changed that."
13652355666_10153603287430667,More than 50 officers are conducting the search for the 2-year-old boy.
10606591490_10153764459071491,This might be the reason you can't get over your ex.
7245371700_10153818646486701,Real World: Seattle set the bar high.
86680728811_10154489356613812,"On top of fleeing violence and instability, tens of thousands of refugee children ""risk detention, rape, forced labour, beatings or death,"" while journeying to Europe, UNICEF report finds."
10513336322_10154259397106323,"""Would Jeremy Hunt be comfortable with his own parents or his own children being treated at this hospital?"""
52150999700_10154340805814701,This Hamilton: An American Musical star can do no wrong. 🙌
5281959998_10150828443839999,"A 2-year-old boy was attacked and dragged away by an alligator at a lake at a Disney hotel in Florida. ""We're not likely now to find a live body,"" a sheriff said."
75932763901_10155044320348902,PREGNANT! Find out who is expecting her third baby in three years (via Closer Weekly) —> http://bit.ly/1SdwzF7
10513336322_10154259432991323,"""Sir Philip Green is swapping the luxury of the Monto Carlo yacht club for the relative austerity of parliament's Portcullis House at 9:15am today, as MPs continue to probe the collapse of the BHS retail chain. And it should be an absolute belter of a session.""

Follow it live with us."
18807449704_10154205134999705,Glasses can put a burden on your daily life.
10606591490_10153764486691491,Grab a scent and smell like your favorite Star Wars character.
95926963131_10154532784183132,"Father's Day is approaching, so make sure your dad feels like the legend that he is."
7245371700_10153818681636701,Probably the weirdest Game of Thrones hangout session ever.
10513336322_10154259491031323,Leicester's title defence begins at home to Hull on 13 August while Mourinho will travel to Bournemouth in his first game in charge Manchester United.
10513336322_10154257592366323,"The world has more than 40 million miles of road. 

What would life be like if those roads could all act as solar panels?"
5281959998_10150828351039999,"Sadiq Khan, London's new mayor, bans ""fat-shaming"" ads from the public transportation system, saying the messages encourage unhealthy body images for young women."
13652355666_10153602871615667,More than half of those surveyed said they would never vote for Trump.
75932763901_10155044318403902,"Courteney Cox just stepped out with her daughter, Coco — and people are freaking out over how grown up and gorgeous she is! See the pics (via Closer Weekly) —> http://bit.ly/1WMZ8xU"
10606591490_10153764519666491,The child is still missing.
86680728811_10154489627308812,"The White House is calling the ruling in favor of net neutrality a ""victory for the open, fair and free Internet as we know it today."""
10513336322_10154257776971323,The bubble had to burst at some point ...
7245371700_10153818732941701,"Memes are taking over the world, tbh."
10513336322_10154259524866323,"""Officers attended and, during engagement with the man, it is understood a Taser was discharged. The man became unresponsive and was subsequently pronounced dead. The IPCC has begun an independent investigation."""
5281959998_10150827929939999,"Additional security procedures are likely to become more common in the U.S., making the experience of going to a concert more like waiting in line at the airport."
52150999700_10154341586259701,This director is no stranger to biopics.
10513336322_10154257090911323,Many voters say they don't know who to believe on the EU. Here we examine some of the murkiest referendum claims.
75932763901_10155044325078902,TOO CUTE! This star just shared a rare photo of his three-month-old son! Find out who (via Closer Weekly) —> http://bit.ly/1Q1gTHC
18807449704_10154205313924705,HEART CANNOT HANDLE
10606591490_10153764552211491,"The southern Indian state is on ""high alert."""
95926963131_10154532855143132,We're getting the chills listening to Christina Grimmie's beautiful voice.
52150999700_10154340062939701,Scott Speedman gets real about playing brother Baz on Animal Kingdom TNT.
7245371700_10153818771756701,Gigi Hadid has Zayn's back.
10513336322_10154259407111323,"""A few weeks ago, I thought about buying a shed. It was the most exciting thing I did that day, because I'm a hot-rod rebel and my entire life is a thrill-a-minute joyride of unimaginable debauchery. In the end, however, I didn't buy a shed – mainly because it turns out that my tolerance for sheds is so abysmally low that I can only look at a maximum of three sheds before deciding that all sheds are stupid. However, that hasn't stopped me from being ambushed by adverts for sheds on a near-hourly basis ever since."""
5281959998_10150828020759999,Democrats focused on the weapons. Republicans emphasized terrorism.
13652355666_10153602752735667,What exactly is the watch list?
86680728811_10154489647603812,"Little girl who beat cancer twice in her young life is now all grown up, and she's returned to the same hospital where she was treated, this time as a nurse."
18807449704_10154205334954705,Leonardo DiCaprio is a huge fan 😍
10606591490_10153764576721491,Always tired? This could be why.
10513336322_10154259570961323,"""Hatred is a terrible thing, but I have no idea what other response there could possibly be to a man such as Philip Green. The man is like a cancer: seemingly determined to grow and spread his little empire with no concern whatsoever for the effect that it may have on others.""

- anonymous BHS employee"
75932763901_10155043461563902,"This is what Chelsea Houska looked like back on Halloween – since then, she's shed even more weight! See how tiny she is today –> http://bit.ly/1sEvKgN"
7245371700_10153818810411701,Selena Gomez and Christina Grimmie's friendship went way back.
18807449704_10154205447419705,Give us the sarcastic emoji immediately!
5281959998_10150828493554999,"Executives, bankers and bureaucrats are trying to plan for potential market panic."
10513336322_10154259501406323,DON'T PANIC.
95926963131_10154532912008132,Audrey Hepburn's mother was not Mel Ferrer's biggest fan—and that's putting it lightly.
10606591490_10153764605506491,10. The race is long and with yourself.
10513336322_10154259423141323,"""Divorced and living alone, I can well understand the fears that spring up when you look to your future and see a path with only one set of footsteps. But instead of panicking about life without a soulmate, I think it's more helpful to recognise that it's highly unlikely you'll be single forever, but also to be realistic about the fact that you may not share your whole life with just one person."""
7245371700_10153818834976701,"Here's what you 'Need to Know' on 6/15 from Lil Wayne, ScHoolboyQ, and Khloé Kardashian."
13652355666_10153603289525667,Could this become a painful reminder or a home for activism?
52150999700_10154340263004701,"Following Christina Grimmie's death, VidCon is committed to making sure everyone's safe."
7245371700_10153818837871701,Nick Jonas does it all.
112638779551_10155029575239552,The Golden State Warriors haven't ruled out Andrew Bogut for Game 6 yet.
75932763901_10155044330008902,"Mila Kunis and Ashton Kutcher normally keep their little girl, Wyatt, out of the spotlight — that's why this photo has fans totally freaking out! (via Closer Weekly) —> http://bit.ly/28xwfK9"
86680728811_10154489641163812,Chance encounter between  teen and a stranger  has turned into a viral sensation resulting in some major surprises for 15-year-old Demarco Bailey.
10606591490_10153764635066491,"""They gave us to them."""
10513336322_10154259632746323,Who's making waves at Euro 2016?
5281959998_10150828507064999,Daily Briefing: Here's what you need to know today.
18807449704_10154205495514705,😂 😂 😂
10513336322_10154259539631323,Are vitamin and mineral supplements really good for us?
18807449704_10154205516899705,Not so fast...
10513336322_10154259669466323,"This year, we've judged EA - Electronic Arts, Bethesda Game Studios, Microsoft, Ubisoft, and Sony for the diversity of their speakers and of the games and characters on show. How do they compare?"
5281959998_10150828466379999,"Donald J. Trump offered his usual stew of fear, jingoism and hatred after the attacks in Orlando. Read on in The New York Times Opinion Section."
10513336322_10154259554611323,"""Farewell, Bramble Cay melomys. We killed you and you will be remembered as the first mammalian extinction caused directly by climate change: wiped off the planet by rising seas inundating its island home in the Torres Strait, off the north coast of Australia."""
95926963131_10154533001018132,"You have to see the other summer treats Starbucks is debuting—believe it or not, it gets better. 😍  (via People Great Ideas)"
10606591490_10153764670906491,"It's almost always some version of ""I'm not telling you."""
75932763901_10155044378538902,"CONGRATS! Just a few months after welcoming baby Saint, Kanye West makes the announcement we've all been waiting for! —> http://bit.ly/237pWZJ"
18807449704_10154205537069705,This is better than The Notebook 😭
7245371700_10153818877101701,"Also, he looks EXACTLY the same."
10513336322_10154259642746323,"""We'd recommend Cristiano Ronaldo take a long hard look at himself in the mirror, if we didn't know that he already spends several hours a day doing exactly that."""
13652355666_10153603579880667,"Gordie Howe (right), aka Mr. Hockey, will be eulogized today.

More things to know: http://usat.ly/1UU59CL"
10513336322_10154259437821323,"""It has taken 22 years for this simple idea to grow to its present scale: we are eight days from a vote that could make it real. The leave campaign has focused to a depressing extent upon immigration. But the case for departure has deeper intellectual roots that cannot be dismissed as mere nostalgia, xenophobia or reactionary reflex. The idea of Brexit has become part of the warp and weft of politics. The question unexplored is: how?"""
5281959998_10150828507274999,"Ninety percent of those killed in Orlando were Hispanic or of Hispanic descent, including 23 Puerto Ricans. ""It's as though it had happened in our own family,"" one woman said."
86680728811_10154489757653812,"U.S. Navy veteran who parked in spot marked for veterans surprised by note waiting for her when she returned. ""This parking is for Veterans, lady. Learn to read and have some respect."""
10606591490_10153764718081491,From bigger emojis to invisible ink.
52150999700_10154340686954701,Brian De Palma originally wanted Don Johnson Official to star in the big-screen version of The Untouchables: http://share.ew.com/I9PI4UD
7245371700_10153818908726701,Almost all of my favorite Disney + Nickelodeon stars have been on Broadway.
10513336322_10154259598241323,Avocado pare.
13652355666_10153603596650667,"The father struggled with the alligator to try to save his son, but was ""unsuccessful."" http://usat.ly/1UU1CV2"
112638779551_10155029676859552,The Charleston RiverDogs Director of Fun knows how to have a good time.
18807449704_10154205593829705,Personal assistant to Bran Stark 😮
52150999700_10154342462604701,Matt LeBlanc and James Corden faced off in the ultimate scooter race! 😂
5281959998_10150828500159999,Lawmakers who have championed discriminatory laws should force themselves to read the obituaries and look at the photos of the people killed in Orlando. Read on in The New York Times Opinion Section.
10513336322_10154259796836323,The Brexit debate is now being conducted on the river Thames.
95926963131_10154533079183132,This 90-year-old war veteran is officially part of the 2016 graduating class! 👏
10606591490_10153764776006491,Legendary.
86680728811_10154490322358812,NEW THIS MORNING: Donald J. Trump and Hillary Clinton hit new highs in their unfavorability ratings in new ABC News/Washington Post poll. http://abcn.ws/1Xp8lfP
7245371700_10153818944361701,This massacre has left us angry and afraid. Here's what you can do to help.
75932763901_10155044442583902,CONGRATS!!! Jennifer Aniston is PREGNANT! See the first pictures of her baby bump —> http://bit.ly/24PiNfY
52150999700_10154342543289701,Beyoncé is the latest star to pay tribute to the Orlando victims during performances this week.
10513336322_10154259645861323,"Eddie Izzard: ""We gradually move forwards, not backwards. That above all is my argument for remaining in Europe: is this not the story of humanity?"""
112638779551_10155029730424552,Johnny Miller's final round 63 to win the 1973 U.S. Open Championship might be the greatest round in golf history. #LookAgain
95926963131_10154533124803132,Mara Wilson is standing in solidarity with the LGBT community in a big way.
5281959998_10150828535449999,"This rodent is the first mammal made extinct by human-driven climate change, scientists say."
112638779551_10155029745964552,That's some arm the Minnesota Twins youngster is sporting.
10606591490_10153764812711491,Here's what science says is most important.
52150999700_10154342505749701,Rejoice! Shrek's future looks bright.
13652355666_10153603757400667,"They were attending a vigil for someone who drowned in Salinas, Calif."
7245371700_10153818970996701,Lil Wayne has returned to Twitter.
10513336322_10154259616391323,Analysis: would George Osborne really opt for austerity max in his post-Brexit budget?
18807449704_10154205669849705,3. Let's not talk about what's beneath our clothes without permission.
95926963131_10154533176358132,Allow us to re-educate you on the beauty that is Jeremy Meeks. (via PeopleStyle)
86680728811_10154490397078812,"As investigators piece together potential motives for the deadliest mass shooting in U.S. history, the focus now turns toward the shooter's wife for possible answers. http://abcn.ws/1sGdyDo"
52150999700_10154342580654701,George Lopez breaks down the flaws in Donald J. Trump's plan on The Late Show with Stephen Colbert.
5281959998_10150828512599999,"If it sounds familiar that a gunman in a mass shooting would have a history of domestic violence, it should."
112638779551_10155029795429552,"Miguel Cabrera desperately tried to give Jose Abreu a hug, but he wanted no part of it."
10513336322_10154259646101323,"Members of Orlando's LGBTQ community were invited up to one church's altar to be prayed over. Many accepted, rose from their seats and stood tall in front of the congregation."
10606591490_10153764865701491,"""It appears she had some knowledge of what was going on."""
52150999700_10154342650404701,Nile Rodgers says he's working on a song partially inspired by the Orlando attack.
112638779551_10155029807119552,"It's a little over a week until the NBA Draft, who are the Philadelphia 76ers, LA Lakers and Boston Celtics going to take? 

We have the answer, in our latest, updated NBA Mock Draft, via Aaron Torres..."
95926963131_10154533232478132,Kim Kardashian West  has already dropped her 60 lbs. of pregnancy weight. (via People Great Ideas)
7245371700_10153819005181701,"Luckily, there is a solution and many states are getting with the program."
112638779551_10155029818019552,"Bubba Watson pulled off a great trick shot, which also happens to be the easiest way to play out of the rough."
18807449704_10154205710424705,Stop downloading all your WhatsApp photos!
112638779551_10155029820359552,"""So you're telling me there's a chance..."""
52150999700_10154342631094701,The Late Show with Stephen Colbert shocked the audience while seriously slamming Donald J. Trump. 😯
10513336322_10154259620696323,"""My book – and my life – is not a work of fiction."""
5281959998_10150828529619999,"""Learning that he was in fact personally rejected will be upsetting to him. On the other hand, it might help him adjust for such situations in the future."""
112638779551_10155029848049552,"""It's your job to stay in the moment. If you don't, your scorecard is to pay."" - Shane Bacon on what makes Oakmont Country Club so difficult."
25902406772_10153974367731773,Who wouldn't want this bus?!
95926963131_10154533267278132,Justice League superheroine Wonder Woman turns 75 this year and she hasn't aged a day.
25902406772_10153974371126773,Seattle Seahawks DE Michael Bennett's mind isn't necessarily on a new deal.
18807449704_1402803603079717,Late-night hosts react to the Orlando shooting.
86680728811_10154490423893812,"Three businesses donated their services, including an animal transport company, a courier service and an Australian airline, to get the frog to a treatment facility more than 700 miles away: http://abcn.ws/1Yr3VEs"
10513336322_10154259991226323,"""Look up – a rainbow! Look down – another one there on the ground, where yesterday was just a patch of spilled oil! """
13652355666_10153603836015667,"Florida alligators may bite, but they usually don't kill."
75932763901_10155044428263902,"She just announced her pregnancy a few months ago, but this reality star just can't seem to keep her clothes on! —> http://bit.ly/1tuZJbR"
10606591490_10153764911531491,3. They are never wrong.
18807449704_10154205725024705,That's some hangover!
7245371700_10153819055961701,"Aww, it's hard to spread your wings in this big, big world."
52150999700_10154342643354701,There's nothing better than a Saturday Night Live cast reunion!
112638779551_10155029871194552,Los Angeles Angels fans made history Tuesday. Umbrella history.
10513336322_10154259638471323,"""I'm a contradiction. Like Mary, virgin and mother. Like man, good and evil."""
112638779551_10155029876204552,"Can't watch Speak For Yourself, give it a listen!"
112638779551_10155029884764552,The New York Mets haven't had their captain in the lineup since May 27 -- and the situation could get worse.
95926963131_10154533302418132,Prince William is speaking out on homophobic bullying. (via People Royals)
5281959998_10150828545739999,Has terrorism managed to intimidate Americans?
112638779551_10155029910719552,"The Indianapolis Colts read ""Mean Tweets,"" and Pat McAfee fired back with some serious heat."
25902406772_10153974434521773,"Ahh, the life of a New York Jets fan."
52150999700_10154342746479701,Harry Potter himself has a very thoughtful reason for not attending the new stage play.
75932763901_10155046133698902,We're used to seeing North West with her hair up in a bun — but wait until you see what she looks like when she lets down those gorgeous curls! —> http://bit.ly/25XsL4L
10513336322_525381207649647,"Scientists have announced the first extinction of a species due to climate change caused by humans.

One in six species now faces the same fate, so some think this is just the tip of the iceberg."
10606591490_10153764951266491,"A former FBI deputy director says the investigative guidelines are too ""restrictive."""
112638779551_10155029921479552,Watch WWE's John Cena do his best Hulk Hogan impersonation
7245371700_10153819111886701,Keep them coming Kanye.
18807449704_10154205798039705,"When Yahoo purchased Tumblr, Marissa Mayer promised ""not to screw it up"" and yet..."
25902406772_10153974443321773,U.S. Soccer has a legit chance to make history at Copa América Centenario 2016.
13652355666_10153603949450667,"""I don't want there to be any doubt that my heart and Gesa's heart intensely longs for you every day."""
86680728811_10154490551583812,These are the names and faces of the Orlando shooting victims. http://abcn.ws/1XobBrY
52150999700_10154342647844701,America's Got Talent loves surprises...and pizza! 😯
10513336322_10154259574706323,Which brand of tea do you get out of bed for in the morning?
5281959998_10150828608989999,Netflix changed the way we watch TV. But it can't stop there.
7245371700_10153819145441701,I missed this look.
13652355666_10153603835095667,NASA Astronaut Scott Kelly is ready for his next adventure.
10606591490_10153765011291491,Is it a good idea to hit the gym after happy hour?
95926963131_10154533390343132,"She may be the selfie queen, but that doesn't mean Kim Kardashian West always feels camera-ready."
18807449704_10154205871239705,"We're showing off our terrible cake decorating skills with Nadiya Hussain, STAR of The Great British Bake Off at the Good Housekeeping Cookery School. Ask her your questions!"
112638779551_10155030003119552,Shaquille O' Neal names James Harden the biggest fool in the NBA.
